,score
2018-08-16,0.0
2018-08-17,0.0
2018-08-18,0.0
2018-08-19,0.0
2018-08-20,1.2638
2018-08-21,0.0
2018-08-22,-0.1483
2018-08-23,-0.3182
2018-08-24,0.6222
2018-08-25,0.0
2018-08-26,0.0
2018-08-27,0.68
2018-08-28,0.0
2018-08-29,0.0
2018-08-30,0.0
2018-08-31,0.0
2018-09-01,-0.765
2018-09-02,0.0
2018-09-03,0.765
2018-09-04,0.9419
2018-09-05,0.0
2018-09-06,-0.2057
2018-09-07,0.0
2018-09-08,0.0
2018-09-09,0.0
2018-09-10,-0.6705
2018-09-11,1.6756
2018-09-12,0.126
2018-09-13,-0.2891
2018-09-14,0.0
2018-09-15,-1.367
2018-09-16,0.7506
2018-09-17,-1.6252
2018-09-18,0.6486
2018-09-19,0.8665
2018-09-20,0.8091
2018-09-21,0.0
2018-09-22,0.3612
2018-09-23,0.0
2018-09-24,0.0
2018-09-25,0.4767
2018-09-26,0.0
2018-09-27,-0.5423
2018-09-28,0.0
2018-09-29,0.0
2018-09-30,0.0
2018-10-01,0.0
2018-10-02,0.0
2018-10-03,0.9951
2018-10-04,0.0
2018-10-05,0.936
2018-10-06,0.0
2018-10-07,0.051100000000000034
2018-10-08,0.0
2018-10-09,0.0
2018-10-10,0.0
2018-10-11,-0.4767
2018-10-12,-0.06909999999999994
2018-10-13,0.8004
2018-10-14,0.3612
2018-10-15,-0.5813999999999999
2018-10-16,0.0
2018-10-17,0.0
2018-10-18,0.7808
2018-10-19,0.0
2018-10-20,0.915
2018-10-21,0.0
2018-10-22,0.0
2018-10-23,-0.8472999999999999
2018-10-24,0.9915
2018-10-25,0.0
2018-10-26,0.8677
2018-10-27,0.1926
2018-10-28,1.1233
2018-10-29,0.0
2018-10-30,0.0
2018-10-31,0.9632000000000001
2018-11-01,0.0
2018-11-02,0.0
2018-11-03,0.1511
2018-11-04,0.0
2018-11-05,0.0
2018-11-06,0.0499
2018-11-07,0.0
2018-11-08,1.0933000000000002
2018-11-09,0.4767
2018-11-10,-0.5267
2018-11-11,-0.7424
2018-11-12,-0.6468
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,-0.34
2018-11-16,-1.0405
2018-11-17,-0.9764
2018-11-18,-0.714
2018-11-19,0.5588
2018-11-20,-0.854
2018-11-21,1.1994
2018-11-22,0.0
2018-11-23,-0.8889
2018-11-24,0.6164000000000001
2018-11-25,0.24049999999999994
2018-11-26,1.081
2018-11-27,0.10919999999999996
2018-11-28,0.2714
2018-11-29,-0.5106999999999999
2018-11-30,1.359
2018-12-01,-0.5023
2018-12-02,1.5641
2018-12-03,0.3696
2018-12-04,-1.7570999999999999
2018-12-05,0.0
2018-12-06,-0.0898000000000001
2018-12-07,0.0
2018-12-08,-0.48299999999999993
2018-12-09,0.0
2018-12-10,-0.3682
2018-12-11,-0.25
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,-0.8934
2018-12-15,0.0
2018-12-16,-1.0796000000000001
2018-12-17,0.769
2018-12-18,0.5334
2018-12-19,0.38680000000000003
2018-12-20,0.12899999999999995
2018-12-21,1.5428
2018-12-22,2.2426
2018-12-23,0.8016
2018-12-24,1.4542000000000002
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,-0.5983
2018-12-29,1.2564
2018-12-30,-0.7721
2018-12-31,-0.4767
2019-01-01,1.3953
2019-01-02,0.0
2019-01-03,2.051
2019-01-04,-0.3595
2019-01-05,0.6403
2019-01-06,0.0
2019-01-07,0.5267
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.8271
2019-01-11,-0.4574
2019-01-12,1.4754
2019-01-13,0.4404
2019-01-14,0.0
2019-01-15,0.25
2019-01-16,0.0
2019-01-17,0.0
2019-01-18,0.0
2019-01-19,0.0
2019-01-20,0.0
2019-01-21,0.5179
2019-01-22,-0.4574
2019-01-23,0.0
2019-01-24,-0.296
2019-01-25,-0.6989
2019-01-26,0.0
2019-01-27,0.0
2019-01-28,-0.9965999999999999
2019-01-29,0.0
2019-01-30,-0.4374
2019-01-31,0.9852000000000001
2019-02-01,1.3599999999999999
2019-02-02,0.9642999999999999
2019-02-03,0.0
2019-02-04,0.5267
2019-02-05,0.7096
2019-02-06,-0.0516
2019-02-07,0.3612
2019-02-08,0.0
2019-02-09,0.0
2019-02-10,-0.2732
2019-02-11,0.0
2019-02-12,-0.1553
2019-02-13,0.0
2019-02-14,-0.2481
2019-02-15,0.6493
2019-02-16,0.8734
2019-02-17,0.0
2019-02-18,0.0
2019-02-19,-0.43350000000000005
2019-02-20,0.3802
2019-02-21,0.7030000000000001
2019-02-22,0.6041
2019-02-23,0.6908
2019-02-24,0.0
2019-02-25,-0.6636
2019-02-26,0.060299999999999965
2019-02-27,0.0
2019-02-28,0.0
2019-03-01,0.5106
2019-03-02,0.0
2019-03-03,0.0
2019-03-04,0.5175
2019-03-05,0.3612
2019-03-06,-0.7530000000000001
2019-03-07,0.0
2019-03-08,0.0
2019-03-09,0.5423
2019-03-10,0.0
2019-03-11,0.0
2019-03-12,0.0
2019-03-13,0.4404
2019-03-14,0.3612
2019-03-15,0.7269
2019-03-16,-0.1531
2019-03-17,0.2006
2019-03-18,0.2732
2019-03-19,0.0
2019-03-20,0.5645
2019-03-21,-0.7845
2019-03-22,0.6477999999999999
2019-03-23,0.8176
2019-03-24,0.6908
2019-03-25,0.0
2019-03-26,0.0
2019-03-27,0.0
2019-03-28,0.4574
2019-03-29,0.0
2019-03-30,0.8849
2019-03-31,0.34
2019-04-01,0.0
2019-04-02,-0.34
2019-04-03,0.19619999999999999
2019-04-04,0.34
2019-04-05,-0.0258
2019-04-06,-0.4884
2019-04-07,0.0
2019-04-08,-0.5411
2019-04-09,0.0
2019-04-10,0.0
2019-04-11,1.1733
2019-04-12,-0.07279999999999998
2019-04-13,0.13650000000000007
2019-04-14,-0.2263
2019-04-15,0.0
2019-04-16,-0.5994
2019-04-17,-0.6486
2019-04-18,0.3612
2019-04-19,-0.1939
2019-04-20,0.7531
2019-04-21,0.25
2019-04-22,0.9081
2019-04-23,0.4939
2019-04-24,-0.2732
2019-04-25,0.6973
2019-04-26,0.4019
2019-04-27,0.4857
2019-04-28,1.0885
2019-04-29,-0.35100000000000003
2019-04-30,0.02290000000000003
2019-05-01,-0.4168
2019-05-02,-0.296
2019-05-03,-0.9193
2019-05-04,0.7192000000000001
2019-05-05,0.0
2019-05-06,1.1749
2019-05-07,0.0
2019-05-08,-0.0007000000000000339
2019-05-09,-0.3818
2019-05-10,1.3565
2019-05-11,0.2259
2019-05-12,-0.9107000000000001
2019-05-13,0.7388
2019-05-14,-0.4299
2019-05-15,2.0091
2019-05-16,0.3838
2019-05-17,0.0
2019-05-18,0.6522000000000001
2019-05-19,1.2284
2019-05-20,-0.03270000000000001
2019-05-21,1.2439
2019-05-22,-0.5257
2019-05-23,0.0516
2019-05-24,-0.34
2019-05-25,1.6371
2019-05-26,-0.9178999999999999
2019-05-27,-0.15350000000000003
2019-05-28,-0.21949999999999997
2019-05-29,0.20269999999999994
2019-05-30,-0.8459
2019-05-31,0.6705
2019-06-01,1.3641999999999999
2019-06-02,-0.1371
2019-06-03,0.6369
2019-06-04,0.04520000000000002
2019-06-05,-0.34
2019-06-06,-0.7345
2019-06-07,-0.20589999999999997
2019-06-08,1.2635
2019-06-09,0.872
2019-06-10,-0.6979
2019-06-11,0.2573
2019-06-12,0.0
2019-06-13,0.6361
2019-06-14,1.5943
2019-06-15,-0.1124
2019-06-16,-1.3747
2019-06-17,1.9351
2019-06-18,2.9813
2019-06-19,0.05389999999999995
2019-06-20,1.4710999999999999
2019-06-21,0.23009999999999994
2019-06-22,0.8911
2019-06-23,-0.06390000000000007
2019-06-24,0.0
2019-06-25,0.8113999999999999
2019-06-26,2.0364
2019-06-27,0.17579999999999996
2019-06-28,1.0135
2019-06-29,0.1436
2019-06-30,0.8715
2019-07-01,-0.3768000000000001
2019-07-02,0.7621000000000001
2019-07-03,0.69
2019-07-04,1.7675
2019-07-05,1.5617
2019-07-06,1.1334
2019-07-07,1.1932
2019-07-08,-0.4485
2019-07-09,-0.08809999999999996
2019-07-10,1.3131
2019-07-11,-0.34
2019-07-12,0.8206
2019-07-13,1.799
2019-07-14,-0.6243
2019-07-15,3.3152999999999997
2019-07-16,1.6356000000000002
2019-07-17,-1.0053
2019-07-18,-0.2716
2019-07-19,0.5859
2019-07-20,2.7961
2019-07-21,0.0
2019-07-22,0.8476
2019-07-23,0.0
2019-07-24,-0.4767
2019-07-25,0.5423
2019-07-26,1.3866
2019-07-27,-0.5267
2019-07-28,1.4207
2019-07-29,0.0
2019-07-30,0.4724
2019-07-31,-0.02410000000000001
2019-08-01,0.12729999999999997
2019-08-02,0.9867
2019-08-03,0.7753
2019-08-04,0.0
2019-08-05,-2.2077999999999998
2019-08-06,1.5579
2019-08-07,1.5829
2019-08-08,1.1751
2019-08-09,0.0
2019-08-10,0.5559
2019-08-11,-1.3824
2019-08-12,1.9624000000000001
2019-08-13,0.44460000000000005
2019-08-14,2.2726
2019-08-15,0.29110000000000014
2019-08-16,-1.0804
2019-08-17,0.4504
2019-08-18,-1.7174
2019-08-19,0.0
2019-08-20,0.1901
2019-08-21,-0.5106
2019-08-22,1.266
2019-08-23,-1.9462
2019-08-24,0.27359999999999995
2019-08-25,-0.7096
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.09000000000000002
2019-08-29,0.6880999999999999
2019-08-30,0.4851
2019-08-31,-0.2335
2019-09-01,0.9523
2019-09-02,0.16330000000000006
2019-09-03,-0.08229999999999998
2019-09-04,-0.2263
2019-09-05,0.8462
2019-09-06,1.5627
2019-09-07,0.091
2019-09-08,0.0
2019-09-09,1.5466
2019-09-10,0.0343
2019-09-11,1.1714
2019-09-12,1.4281000000000001
2019-09-13,0.0
2019-09-14,-0.5927
2019-09-15,0.0
2019-09-16,0.7506
2019-09-17,0.11769999999999992
2019-09-18,-0.5679000000000001
2019-09-19,1.3605
2019-09-20,-0.009500000000000064
2019-09-21,0.0
2019-09-22,2.2904999999999998
2019-09-23,-0.024599999999999955
2019-09-24,0.9321
2019-09-25,0.0363
2019-09-26,0.0
2019-09-27,0.4215
2019-09-28,-0.8211
2019-09-29,-0.3612
2019-09-30,0.6764
2019-10-01,-0.4404
2019-10-02,-0.7264
2019-10-03,0.3612
2019-10-04,0.0
2019-10-05,0.7906
2019-10-06,0.0516
2019-10-07,-1.3149
2019-10-08,0.7717
2019-10-09,0.2663
2019-10-10,0.05030000000000001
2019-10-11,0.8066
2019-10-12,0.0
2019-10-13,0.0
